id,name,parent_id,description,active
e2233e75-04b1-43d7-a1de-9409edcc9c14,Brand Strategy & Guidelines,b52fbfe5-e1a8-4b3e-9889-0347f7430f0d,Subcategory for Brand Strategy & Guidelines,True
75b27f1a-9116-474e-9478-7b0f8256c3eb,Campaign Planning,b52fbfe5-e1a8-4b3e-9889-0347f7430f0d,Subcategory for Campaign Planning,True
33bac09a-e2f3-40f7-a228-05ecb62d842a,Creative Brief Development,b52fbfe5-e1a8-4b3e-9889-0347f7430f0d,Subcategory for Creative Brief Development,True
1da4b66a-1379-48c2-bb6e-7a0240cbc1a6,Brand Asset Request,b52fbfe5-e1a8-4b3e-9889-0347f7430f0d,Subcategory for Brand Asset Request,True
ceda5dce-6135-45a9-a880-63252de49029,Marketing Collateral,b52fbfe5-e1a8-4b3e-9889-0347f7430f0d,Subcategory for Marketing Collateral,True
04c07d1a-2c0e-4070-b9e1-d72d8bd57535,Print Materials,b52fbfe5-e1a8-4b3e-9889-0347f7430f0d,Subcategory for Print Materials,True
6c1dd44c-4d25-4f82-bcb5-691246aea44c,Promotional Items,b52fbfe5-e1a8-4b3e-9889-0347f7430f0d,Subcategory for Promotional Items,True
543fd864-de52-420c-9bac-7542b1f8ae7f,Signage Request,b52fbfe5-e1a8-4b3e-9889-0347f7430f0d,Subcategory for Signage Request,True
1e4b4761-b917-472c-92ff-85b3f7a798ae,Logo Usage Request,b52fbfe5-e1a8-4b3e-9889-0347f7430f0d,Subcategory for Logo Usage Request,True
a953efc6-0bf4-4c12-8e3e-7780dbffee2c,Brand Approval,b52fbfe5-e1a8-4b3e-9889-0347f7430f0d,Subcategory for Brand Approval,True
f9c490c8-e0d0-4c0a-930f-1734958bb9ab,Social Media Graphics,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Social Media Graphics,True
b01cff0b-326c-4b29-84e7-3ad832094316,Email Graphics,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Email Graphics,True
be8687b9-6706-4285-8123-9d225f7529e1,Presentation Design,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Presentation Design,True
cd5ee6d9-773a-49e4-b5c1-8856780e5a64,Infographic Design,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Infographic Design,True
f6566a19-9490-4e50-9dbe-709631663f92,Banner Design,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Banner Design,True
d94d56e5-347f-4fd1-bd36-f038b9f480b1,Flyer Design,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Flyer Design,True
4f7c3fa5-ee52-4756-bc37-4e01a68fa5ad,Brochure Design,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Brochure Design,True
ee8fc76c-c694-4423-b8da-da704aceaf51,Business Card Design,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Business Card Design,True
3b88a986-7e5f-4e2b-8b90-f4ce6b91b475,Postcard Design,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Postcard Design,True
09cb2b12-7e35-4168-a43f-a8ba72130e0d,Ad Creative Design,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Ad Creative Design,True
5902fd76-f798-4af3-af3c-89902f9950bc,Illustration Request,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Illustration Request,True
f67376d2-51ec-47d8-b945-62337e2b2410,Icon Design,34f20a3c-1196-423a-a771-3a8e3f8ed39f,Subcategory for Icon Design,True
8221aaed-10d7-47e6-bee0-5051ca4bc6c1,Blog Post Writing,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Blog Post Writing,True
47a78e0b-c26b-44d4-b17b-4f2b79d34440,Article Writing,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Article Writing,True
af1dbf76-91e0-447b-8927-1f00bb7db095,Press Release,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Press Release,True
f203e153-652b-4d9c-af01-dcab4ef3231a,Email Copy,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Email Copy,True
aebc5da7-cc05-46a8-8f93-976d2edb2f4a,Landing Page Copy,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Landing Page Copy,True
98ac70b0-3eb5-48a4-a25c-ecd72f0d4273,Ad Copy,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Ad Copy,True
8c4155dd-6ce6-49fc-9920-13749e13e269,Social Media Copy,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Social Media Copy,True
d13f6a11-6f24-4a77-90ee-e5d29d62271d,Product Description,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Product Description,True
5a602dee-2138-4773-aa26-f6b03fe10c34,Website Copy,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Website Copy,True
687d3061-2f3b-464d-87f9-068bda1e26bf,Script Writing,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Script Writing,True
385904a3-5caf-4c40-9960-4991437b5cf5,Newsletter Content,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Newsletter Content,True
b58912a1-ffd6-4d94-9c1a-41d6d59e27b9,Case Study Writing,b3f74826-1410-4272-a20d-a190844a5898,Subcategory for Case Study Writing,True
2aff9568-b2d3-482d-9b95-89864efa2fee,SEO Strategy,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for SEO Strategy,True
1cf740a9-990a-42ad-b7e9-aab6dd468e57,SEO Audit Request,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for SEO Audit Request,True
ab438ff8-9530-4ff8-b08e-f05848a96dcd,Keyword Research,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for Keyword Research,True
31243ad3-044a-4449-97f9-6557e1868a89,Link Building Request,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for Link Building Request,True
ed04d3ec-e143-4373-b85b-0aa32cb27b04,Local SEO Setup,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for Local SEO Setup,True
4679a5ce-ad58-46f9-ad1c-d1afa6e9a2e9,Google Business Profile,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for Google Business Profile,True
868bf16e-a851-4b5a-9fe0-5753155c2968,PPC Campaign Setup,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for PPC Campaign Setup,True
049e39bc-3e32-4668-b070-aa40f9a9af5c,PPC Optimization,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for PPC Optimization,True
8cfdf948-b3cc-4f1f-9ef5-2eee238f922c,Display Advertising,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for Display Advertising,True
23f4b28d-e0fd-4882-8e79-d079026e6812,Retargeting Campaign,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for Retargeting Campaign,True
b0a986e0-78b1-4c35-a043-5a15c58fdcfb,Analytics Setup,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for Analytics Setup,True
f6b0a4b6-c7df-4196-b868-b8d41c461509,Conversion Tracking,db8fd7eb-fe9c-4514-9d3a-cd2059512ea2,Subcategory for Conversion Tracking,True
61870f16-c2d9-42e1-becb-42c3b9cad031,Social Strategy Development,1e502dc3-4fc4-41bd-8c87-10b3509300da,Subcategory for Social Strategy Development,True
1c21882f-b7c5-4fab-9cea-2b3a86c06209,Content Calendar,1e502dc3-4fc4-41bd-8c87-10b3509300da,Subcategory for Content Calendar,True
0a8714a1-cda2-4614-b686-481a04641640,Post Scheduling,1e502dc3-4fc4-41bd-8c87-10b3509300da,Subcategory for Post Scheduling,True
b7459034-437e-4f7e-ac38-cb69de21794f,Community Management,1e502dc3-4fc4-41bd-8c87-10b3509300da,Subcategory for Community Management,True
0c7802a9-bd7c-4f5b-85e8-7158f9e7c5f3,Influencer Outreach,1e502dc3-4fc4-41bd-8c87-10b3509300da,Subcategory for Influencer Outreach,True
41b1832d-e2e7-495d-950e-44c83dcc8590,Social Ad Campaign,1e502dc3-4fc4-41bd-8c87-10b3509300da,Subcategory for Social Ad Campaign,True
43b13f24-7678-4276-808f-6ac44388c3ed,Platform Setup,1e502dc3-4fc4-41bd-8c87-10b3509300da,Subcategory for Platform Setup,True
ef0f8a65-c1ba-4ad1-a532-665fe93f16e6,Social Listening,1e502dc3-4fc4-41bd-8c87-10b3509300da,Subcategory for Social Listening,True
4c9a5cb5-b8f2-4086-8e36-c4ec1a0d5a9a,Engagement Report,1e502dc3-4fc4-41bd-8c87-10b3509300da,Subcategory for Engagement Report,True
a0c9250c-6b50-4b59-947e-894608061972,Crisis Response,1e502dc3-4fc4-41bd-8c87-10b3509300da,Subcategory for Crisis Response,True
12817ab9-e8e0-4d7a-8e8d-17c4d53eba35,Email Campaign Setup,6ab047e7-3e0e-478e-8e86-2c33971d37b1,Subcategory for Email Campaign Setup,True
9ecb431f-307d-48c1-9225-cd1a38037a0c,Email Template Design,6ab047e7-3e0e-478e-8e86-2c33971d37b1,Subcategory for Email Template Design,True
6017372e-d98b-4741-9181-72d70419d3ff,Newsletter Setup,6ab047e7-3e0e-478e-8e86-2c33971d37b1,Subcategory for Newsletter Setup,True
56bd6d43-d695-4e1c-9ead-bca89c71e5a9,Drip Campaign Creation,6ab047e7-3e0e-478e-8e86-2c33971d37b1,Subcategory for Drip Campaign Creation,True
63470d55-2c9a-47a6-9cf9-ae342ba4660b,Email List Management,6ab047e7-3e0e-478e-8e86-2c33971d37b1,Subcategory for Email List Management,True
2504adcc-a118-4c82-8faf-54e17a76fc6e,A/B Testing Setup,6ab047e7-3e0e-478e-8e86-2c33971d37b1,Subcategory for A/B Testing Setup,True
ae70779b-0846-4ea1-a029-41e758fccefc,Email Automation,6ab047e7-3e0e-478e-8e86-2c33971d37b1,Subcategory for Email Automation,True
f3dccabf-6994-44e8-89ab-116eb71fcadd,Deliverability Issue,6ab047e7-3e0e-478e-8e86-2c33971d37b1,Subcategory for Deliverability Issue,True
c3e920f0-e277-42cf-bc6c-ec828ba06afc,Unsubscribe Request,6ab047e7-3e0e-478e-8e86-2c33971d37b1,Subcategory for Unsubscribe Request,True
f8ca0bca-b69a-4284-905d-4cf5082b1580,Email Analytics,6ab047e7-3e0e-478e-8e86-2c33971d37b1,Subcategory for Email Analytics,True
2796538d-960e-40d6-88d2-470b708cee3f,Video Shoot Request,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for Video Shoot Request,True
b84f94a3-4dd5-4974-be18-c4c3a3617df3,Video Editing,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for Video Editing,True
cf0a1920-6683-4a55-a6df-54013519bfb9,Motion Graphics,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for Motion Graphics,True
d43f6f70-2caa-4c37-9969-636ca1a778bb,Animation Request,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for Animation Request,True
3daa349d-ff45-49a4-8423-33a74211bd2c,Color Correction,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for Color Correction,True
245e903a-5d78-4804-b730-4e55d3d6ea0d,Audio Mixing,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for Audio Mixing,True
11a13b41-9225-4aa3-baa5-ee94ecdf4e2d,Subtitles/Captions,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for Subtitles/Captions,True
996e545d-00a4-4689-ad42-c99a353b241a,Video Thumbnail,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for Video Thumbnail,True
9a352f45-a191-434f-9f2b-118689ef4343,YouTube Optimization,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for YouTube Optimization,True
576ab220-0c17-4fae-bf57-d92dff9a60e5,Video Compression,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for Video Compression,True
fed96508-cf26-41ee-a0bf-525f8ec26ff3,Format Conversion,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for Format Conversion,True
d9f95bb6-9988-4c36-81a1-0916fc4b426c,Video Revision,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for Video Revision,True
7bb05fd6-f7dd-428e-8e3a-8576da5521f6,B-Roll Request,34a9ef7e-37a1-4408-8165-47e764d4cfa1,Subcategory for B-Roll Request,True
6c889e81-0d98-4e21-b73b-1369530b6d3c,Photo Shoot Request,2e3a9b29-39ec-4cca-9d25-603c376aa3f3,Subcategory for Photo Shoot Request,True
1cf8b323-ca1e-46d8-98a4-601cae5bbc09,Product Photography,2e3a9b29-39ec-4cca-9d25-603c376aa3f3,Subcategory for Product Photography,True
a5973cd5-b7f7-4de0-abe4-ac08540602e2,Headshot Session,2e3a9b29-39ec-4cca-9d25-603c376aa3f3,Subcategory for Headshot Session,True
5ffa1e10-b7a5-4ae9-8466-4aca79e1a02f,Event Photography,2e3a9b29-39ec-4cca-9d25-603c376aa3f3,Subcategory for Event Photography,True
f6714b01-d382-40f7-bc70-561d437a0e10,Photo Editing,2e3a9b29-39ec-4cca-9d25-603c376aa3f3,Subcategory for Photo Editing,True
e0064403-028f-4760-8d7d-a36673b86974,Photo Retouching,2e3a9b29-39ec-4cca-9d25-603c376aa3f3,Subcategory for Photo Retouching,True
143b00b9-d851-44c2-8f93-8f3d07254117,Image Cropping/Resizing,2e3a9b29-39ec-4cca-9d25-603c376aa3f3,Subcategory for Image Cropping/Resizing,True
